             1             1
             2            -1
             3             1
             4            -3
             5             1
             6             1
             7             1
             8             1
9.022             1
9.023             1
9.025             1
9.026             1
10.022             1
10.023             1
10.025             1
10.026             1
            11             1
            12             1
            13            -5
            14            -6
            15            -7
            16            -8
            17            -9
            18           -10
            19           -11
            20           -12
            21             1
            22           -21
            23             1
            24           -23
            25             1
            26           -25
            27             1
            28             1
            29             1
            30           -28
31.022             1
31.023             1
31.025             1
31.026             1
            32           -31
            33           -27
            34           -29
            35             1
            36           -35
            37             1
            38             1
            39             1
            40             1
            41             1
            42             1
            43             1
44.022             1
44.023             1
44.025             1
44.026             1
45.022             1
45.023             1
45.025             1
45.026             1
            46             1
            47             1
            48             1
            49             1
            50             1
            51             1
            52             1
            53             1
            54             1
55.022             1
55.023             1
55.025             1
55.026             1
56.022             1
56.023             1
56.025             1
56.026             1
            57             1
            58             1
            59           -49
            60           -50
            61             1
            62             1
            63           -46
            64           -42
            65           -47
            66           -39
67.022             1
67.023             1
67.025             1
67.026             1
            68           -44
            69             1
            70             1
            71             1
            72             1
