             1             1
             2            -1
             3             1
             4            -3
             5             1
             6             1
             7             1
             8             1
             9            -5
            10            -6
            11            -7
            12            -8
            13             1
            14             1
            15           -13
            16           -14
            17             1
            18             1
            19             1
            20             1
            21           -17
            22           -18
            23           -19
            24           -20
            25             1
            26           -25
            27             1
            28           -27
            29             1
            30             1
            31           -29
            32           -30
            33             1
            34             1
            35           -33
            36           -34
            37             1
            38             1
            39             1
            40             1
            41             1
            42             1
            43             1
            44             1
            45             1
            46             1
            47             1
            48             1
            49             1
            50             1
            51             1
            52             1
            53           -49
            54           -50
            55             1
            56             1
            57             1
            58             1
            59             1
            60             1
            61           -41
            62           -42
            63           -38
            64           -37
            65           -43
            66           -44
            67           -40
            68           -39
            69           -46
            70           -45
            71           -48
            72           -47
