             1             1
             2            -1
             3             1
             4             1
             5            -3
             6            -4
             7             1
             8            -7
             9            -1
            10            -1
            11            -3
            12            -4
            13            -3
            14            -4
            15            -7
            16            -7
            17             1
            18             1
            19           -17
            20           -18
            21             1
            22           -21
            23           -17
            24           -18
            25           -17
            26           -18
            27           -21
            28           -21
            29             1
            30           -29
            31           -29
            32           -29
            33             1
            34           -33
            35           -33
            36           -33
            37             1
            38           -37
            39           -37
            40           -37
            41             1
            42             1
            43             1
            44           -41
            45           -41
            46           -42
            47           -43
            48           -41
            49             1
            50             1
            51           -49
            52           -50
            53           -49
            54           -49
            55             1
            56           -55
            57             1
            58           -57
            59           -55
            60           -55
