             1             1
             2             1
             3            -1
             4             1
             5             1
             6             1
             7             1
             8            -6
             9             1
            10             1
            11             1
            12             1
            13            -5
            14           -10
            15           -11
            16            -7
            17             1
            18             1
            19             1
            20             1
            21           -19
            22           -20
            23             1
            24             1
            25            -2
            26            -4
            27            -9
            28           -12
            29            -5
            30            -7
            31            -5
            32            -7
            33           -17
            34           -18
            35           -23
            36           -24
            37           -11
            38           -10
            39           -11
            40           -10
            41            -6
            42            -6
            43            -1
            44            -1
            45           -20
            46           -19
            47           -20
            48           -19
            49           -11
            50           -10
            51            -1
            52            -1
            53           -11
            54           -10
            55            -6
            56            -6
            57           -20
            58           -19
            59           -20
            60           -19
            61            -5
            62            -7
            63            -5
            64            -7
            65            -4
            66            -2
            67           -12
            68            -9
            69           -18
            70           -17
            71           -24
            72           -23
