 1   1
 2   1
 3   1
 4   1
 5   1
 6   1
 7   1
 8   1
 9   1
10   1
11   1
12   1
13   1
14   1
15   1
16   1
17   1
18   1
19   1
20   1
21   1
22   1
23   1
24   1
25  -2
26  -4
27  -9
28 -12
29  -5
30  -7
31 -13
32 -16
33 -17
34 -18
35 -23
36 -24
37   1
38 -37
39   1
40 -39
41   1
42   1
43 -41
44 -42
45   1
46   1
47 -45
48 -46
49   1
50   1
51   1
52   1
53   1
54   1
55 -51
56 -52
57   1
58   1
59   1
60   1
61 -11
62 -10
63  -1
64  -3
65 -15
66 -14
67  -6
68  -8
69 -20
70 -19
71 -22
72 -21
